City,Country,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Datetime
Paradise Valley,US,33.5312,-111.9427,24.39,89,90,0.89,1627217309
Ribeira Grande,PT,38.5167,-28.7,23.22,78,40,3.09,1627217200
Hambantota,LK,6.1241,81.1185,30.19,74,75,7.72,1627217310
Ushuaia,AR,-54.8,-68.3,3.81,81,40,4.63,1627217260
Chimoio,MZ,-19.1164,33.4833,15.92,67,75,5.66,1627217312
Portland,US,45.5234,-122.6762,18.11,82,1,2.06,1627217106
Rikitea,PF,-23.1203,-134.9692,21.23,63,89,1.23,1627217313
Ilebo,CD,-4.3167,20.5833,37.49,16,85,2.73,1627217314
Hermanus,ZA,-34.4187,19.2345,21.56,49,100,1.04,1627217168
Golden,US,39.7555,-105.2211,21.68,60,1,0.45,1627217120
Pisco,PE,-13.7,-76.2167,17.23,82,90,1.54,1627217316
Tiksi,RU,71.6872,128.8694,8.28,76,81,1.42,1627217317
Saskylakh,RU,71.9167,114.0833,18.64,49,98,3.8,1627217318
Padang,ID,-0.9492,100.3543,28.03,83,22,1.43,1627217318
Quimper,FR,48.0,-4.1,23.32,68,75,5.14,1627217319
Klaksvík,FO,62.2266,-6.589,11.51,95,100,5.7,1627217320
Lumeje,AO,-11.55,20.7833,27.13,25,0,4.32,1627217321
Mataura,NZ,-46.1927,168.8643,6.9,87,100,2.5,1627217322
Yellowknife,CA,62.456,-114.3525,11.27,93,75,2.06,1627217116
Cap Malheureux,MU,-19.9842,57.6142,24.27,63,0,4.02,1627217323
Lokosovo,RU,61.1333,74.8167,14.75,98,100,5.45,1627217327
Bathsheba,BB,13.2167,-59.5167,29.34,79,40,4.12,1627217328
Chanute,US,37.6792,-95.4572,25.84,94,1,0.0,1627217329
Palauig,PH,15.435,119.9045,27.69,86,100,5.4,1627217329
Hithadhoo,MV,-0.6,73.0833,27.52,79,55,3.46,1627217193
Zabul Province,AF,32.25,67.25,35.38,10,0,5.34,1627217331
Tuatapere,NZ,-46.1333,167.6833,8.74,88,100,2.28,1627217332
Taoudenni,ML,22.6783,-3.9836,46.5,6,4,5.44,1627217333
Nhulunbuy,AU,-12.2333,136.7667,23.34,78,67,3.6,1627217334
Arlit,NE,18.7369,7.3853,40.5,15,6,2.22,1627217335
Hobart,AU,-42.8794,147.3294,5.92,78,40,0.45,1627217335
Owatonna,US,44.0839,-93.226,21.02,78,1,0.0,1627217318
Blackfoot,US,43.1905,-112.345,18.53,22,0,1.22,1627217120
Kuytun,RU,54.3419,101.5036,20.81,57,100,0.92,1627217337
